CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Supervisor District,Neighborhood,Point,Source,Media URL
5608367,02/26/2016 11:03:35 PM,02/27/2016 12:27:09 AM,02/27/2016 12:27:09 AM,Closed,Case is Invalid -,311 Service Request Queue,General Requests,311CustomerServiceCenter - 311CustomerServiceCenter - request_for_service,311CustomerServiceCenter - 311CustomerServiceCenter - request_for_service,Not associated with a specific address,0,,,Web Self Service,https://311crm-prod.ad.sfgov.org/attachments/viewCaseNoteAttachments.jsp?caseid=5608367
5608363,02/26/2016 10:56:36 PM,02/27/2016 12:28:01 AM,02/27/2016 12:28:01 AM,Closed,Case is Invalid -,311 Service Request Queue,General Requests,311CustomerServiceCenter - 311CustomerServiceCenter - request_for_service,311CustomerServiceCenter - 311CustomerServiceCenter - request_for_service,Not associated with a specific address,0,,,Web Self Service,
5608102,02/26/2016 06:28:21 PM,02/26/2016 09:18:52 PM,02/26/2016 09:18:52 PM,Closed,Case Completed - Case Resolved: Field Work has been completed.       Add'l Notes:     relieved at trap flushed to M/S,PUC Sewer Ops,Sewer Issues,Sewage_back_up,Sewage_back_up Outofsewervent4inch,"580 SANCHEZ ST, SAN FRANCISCO, CA, 94114",8,Dolores Heights,"(37.759883938614, -122.430650331627)",Web Self Service,
5608087,02/26/2016 06:20:51 PM,02/26/2016 06:56:29 PM,02/26/2016 06:56:29 PM,Closed,Case Transferred -,PUC - Water - G,Graffiti Public Property,Offensive Graffiti on Public Property,Other_enter_additional_details_below - Offensive,Intersection of CESAR CHAVEZ ST and VALENCIA ST,9,Mission,"(37.7481252025839, -122.420278896094)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/56d107fbdf86ac4353fb05ad/report.jpg
5608029,02/26/2016 06:03:26 PM,02/26/2016 08:26:58 PM,02/26/2016 08:26:58 PM,Closed,Case Completed - Case Resolved: Field Work has been completed.       Add'l Notes:     relieve l/l @ trap,PUC Sewer Ops,Sewer Issues,Sewage_back_up,Outofsewervent4inch,Intersection of 10TH AVE and LAWTON ST,7,,"(37.7583977607703, -122.466992527214)",Voice In,
5608008,02/26/2016 05:52:35 PM,02/26/2016 11:40:27 PM,02/26/2016 11:40:27 PM,Closed,Gone On Arrival - Police CAD# 160572901 assigned; Call Closed: 2016-02-26 23:40:27,Police - Homeless Concerns Queue,General Requests,homeless_concerns - homeless_other - request_for_service,homeless_concerns - homeless_other - request_for_service,Intersection of 9TH ST and BRYANT ST,6,Showplace Square,"(37.7712907116707, -122.408531067804)",Open311,
5607999,02/26/2016 05:47:59 PM,02/26/2016 06:31:23 PM,02/26/2016 06:31:23 PM,Closed,Case is a Duplicate - see SR-5607998,Police - Homeless Concerns Queue,General Requests,homeless_concerns - wellbeing_check - request_for_service,homeless_concerns - wellbeing_check - request_for_service,"501 VAN NESS AVE, SAN FRANCISCO, CA, 94102",5,Civic Center,"(37.780269945856, -122.420524161976)",Open311,
5607998,02/26/2016 05:47:06 PM,02/26/2016 11:03:12 PM,02/26/2016 11:03:12 PM,Closed,Gone On Arrival - Police CAD# 160572967 assigned; Call Closed: 2016-02-26 23:03:12,Police - Homeless Concerns Queue,General Requests,homeless_concerns - wellbeing_check - request_for_service,homeless_concerns - wellbeing_check - request_for_service,"501 VAN NESS AVE, SAN FRANCISCO, CA, 94102",5,Civic Center,"(37.780269945856, -122.420524161976)",Open311,
5607991,02/26/2016 05:43:42 PM,02/26/2016 11:37:52 PM,02/26/2016 11:37:52 PM,Closed,Duplicate Request - Police CAD# 160572892 assigned; Call Closed: 2016-02-26 23:37:52,Police - Homeless Concerns Queue,General Requests,homeless_concerns - aggressive_behavior - request_for_service,homeless_concerns - aggressive_behavior - request_for_service,Intersection of DIVISION ST and KING ST,10,Showplace Square,"(37.7698657718605, -122.402403753235)",Open311,
5607941,02/26/2016 05:31:43 PM,02/26/2016 07:04:53 PM,02/26/2016 07:04:53 PM,Closed,Case Transferred - to att,311 Supervisor Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Other_enter_additional_details_below - Not_Offensive,"457 26TH AVE, SAN FRANCISCO, CA, 94121",1,,"(37.780866875, -122.486005328)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/56d0fc6bdf86ac4353fb03ac/report.jpg
5607937,02/26/2016 05:30:44 PM,02/26/2016 06:59:56 PM,02/26/2016 06:59:56 PM,Closed,Case Transferred - graffiti@att.com,311 Supervisor Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Other_enter_additional_details_below - Not_Offensive,"414 26TH AVE, SAN FRANCISCO, CA, 94121",1,Outer Richmond,"(37.781432741928, -122.485746640517)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/56d0fc38df86ac4353fb038a/report.jpg
5607936,02/26/2016 05:30:24 PM,02/26/2016 10:55:14 PM,02/26/2016 10:55:14 PM,Closed,Case is a Duplicate -,311 Supervisor Queue,Graffiti Public Property,Offensive Graffiti on Public Property,City_receptacle - Offensive,"2255 HAYES ST, SAN FRANCISCO, CA, 94117",5,Panhandle,"(37.772883369424, -122.453385642926)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/56d0fc1cdf86ac4353fb037f/report.jpg
5607926,02/26/2016 05:26:49 PM,02/26/2016 10:54:54 PM,02/26/2016 10:54:54 PM,Closed,Case Resolved -,311 Supervisor Queue,Tree Maintenance,Trees - Tree_Other,Other,"588 SOUTH VAN NESS AVE, SAN FRANCISCO, CA, 94110",9,Mission,"(37.763851772491, -122.417519922269)",Open311,
5607889,02/26/2016 05:13:02 PM,02/26/2016 10:51:11 PM,02/26/2016 10:51:11 PM,Closed,Case is a Duplicate -,311 Supervisor Queue,Graffiti Private Property,Not_Offensive Graffiti on Private Property,Building_commercial - Not_Offensive,Intersection of 24TH ST and UTAH ST,10,Potrero Hill,"(37.753063690319, -122.405331104173)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/56d0f816df86ac4353fb02f6/report.jpg
