Closed,CaseID,Opened,Responsible Agency,Category,Request Type,Request Details,Address,Supervisor District,Neighborhood,Point,Source,Media URL
1.0,5608367,02/26/2016 11:03:35 PM,311 Service Request Queue,General Requests,311CustomerServiceCenter - 311CustomerServiceCenter - request_for_service,311CustomerServiceCenter - 311CustomerServiceCenter - request_for_service,Not associated with a specific address,s0,,,Web Self Service,yes
2.0,5608363,02/26/2016 10:56:36 PM,311 Service Request Queue,General Requests,311CustomerServiceCenter - 311CustomerServiceCenter - request_for_service,311CustomerServiceCenter - 311CustomerServiceCenter - request_for_service,Not associated with a specific address,s0,,,Web Self Service,no
3.0,5608102,02/26/2016 06:28:21 PM,PUC Sewer Ops,Sewer Issues,Sewage_back_up,Sewage_back_up Outofsewervent4inch,"580 SANCHEZ ST, SAN FRANCISCO, CA, 94114",s8,Dolores Heights,"(37.759883938614, -122.430650331627)",Web Self Service,no
1.0,5608087,02/26/2016 06:20:51 PM,PUC - Water - G,Graffiti Public Property,Offensive Graffiti on Public Property,Other_enter_additional_details_below - Offensive,Intersection of CESAR CHAVEZ ST and VALENCIA ST,s9,Mission,"(37.7481252025839, -122.420278896094)",Open311,yes
2.0,5608029,02/26/2016 06:03:26 PM,PUC Sewer Ops,Sewer Issues,Sewage_back_up,Outofsewervent4inch,Intersection of 10TH AVE and LAWTON ST,s7,,"(37.7583977607703, -122.466992527214)",Voice In,no
6.0,5608008,02/26/2016 05:52:35 PM,Police - Homeless Concerns Queue,General Requests,homeless_concerns - homeless_other - request_for_service,homeless_concerns - homeless_other - request_for_service,Intersection of 9TH ST and BRYANT ST,s6,Showplace Square,"(37.7712907116707, -122.408531067804)",Open311,no
1.0,5607999,02/26/2016 05:47:59 PM,Police - Homeless Concerns Queue,General Requests,homeless_concerns - wellbeing_check - request_for_service,homeless_concerns - wellbeing_check - request_for_service,"501 VAN NESS AVE, SAN FRANCISCO, CA, 94102",s5,Civic Center,"(37.780269945856, -122.420524161976)",Open311,no
5.0,5607998,02/26/2016 05:47:06 PM,Police - Homeless Concerns Queue,General Requests,homeless_concerns - wellbeing_check - request_for_service,homeless_concerns - wellbeing_check - request_for_service,"501 VAN NESS AVE, SAN FRANCISCO, CA, 94102",s5,Civic Center,"(37.780269945856, -122.420524161976)",Open311,no
6.0,5607991,02/26/2016 05:43:42 PM,Police - Homeless Concerns Queue,General Requests,homeless_concerns - aggressive_behavior - request_for_service,homeless_concerns - aggressive_behavior - request_for_service,Intersection of DIVISION ST and KING ST,s10,Showplace Square,"(37.7698657718605, -122.402403753235)",Open311,no
2.0,5607941,02/26/2016 05:31:43 PM,311 Supervisor Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Other_enter_additional_details_below - Not_Offensive,"457 26TH AVE, SAN FRANCISCO, CA, 94121",s1,,"(37.780866875, -122.486005328)",Open311,yes
